	Domain	Phylum	Class	Order	Family	Genus	OTU
b74807172cfa99b6e3b983d8fb7eb9e1	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
2e66182e59ff32e9d76933d0c4110e51	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
78e8502f848cded7629966d1e2213c0d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
861ddc5153ff0b8acd4e6188b3aaf5f0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
d6d2259f1734531b4ab0f6ea9b5e6e87	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
396647accba63be916ac13f7c90cbbc1	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
50eff7924c1cf0dc3ab7dffad15b7c7f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
5c7fe9dfbedb71ab0e28abe4b03794cf	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
9d9be92459d7c2688d2f047be0e1140c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
b8ad8e4c7cfc60dc1c7e3d1356897f08	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
0979c9c98a04b90d03eb89ced48c3ac7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
2225bb2a8876689990aa06a98bed0894	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
56411723cedd71224d4bf4cf925dc9f7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
26668958b7cf6ab2f2504352f787ab7f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
25a1cf5862a5621d58c429d4a0467f71	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
4c0a4deb2161680f517d92c451609b23	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
64e13dab99c19ff19e9e302da83e3c04	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
f1c5eff78a5ff9789a5180449e3ec3e7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
dca2072401431a3ec8c89c9d73872def	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
38d72b28467899533b8e98267d271a85	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
aba99b6ec28a646f1afdfff4c5992319	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
5e5a579d5f25670f6b11a75c3b344412	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
446d11e996d3929a4f7c371d3b531254	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
e0e9c05529ffb27ac2c5233eeb966c79	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
51707935a1e090f7351657accc029a7a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
f6760c83297af6ca1e24ce869e3f011a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
449ee6b7ce0c73cccd240927eee6885c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
bb388278ca410e61f56075416e34f33e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
034b9fae66a4137869b030ad3893e301	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
59ffcb9bc6ffc76a7626f815b992b1c9	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
36e9a4c8202d8835a448ba74ec8c28b8	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
5cd58696e81b22a325db98dc05c61c6f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
b9ad7ca471e034bd4f12249b44cd0799	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
5715d0ee8231fe659d50c3b9f8939beb	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
10ca24f9c2e2e02f6ecfe9ac011c47e6	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
a51b3c03e5b0249c15a0d3d54fe65d2f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
08128e3ba26c2299d19dd6d92c587fa5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
a6c48a7a5e89ee9a67c54679e971b26b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
3bf4151fde5a629aea4bef8f8bfe71ca	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
72e87d26a286e77ca56e7ff83fe70391	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
2b076a56e82a82af1511a49260f18422	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
c276b74b24712fa7f00f03429e1f9097	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
218e02f88503b1099c1dfba0801fea9d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
9a86bfac5582ce00be1be34a5ff8b65a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
18c78e4db6aeb14aef1a86fa709639d0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
7dc018bb5a7b303dd98e77ac13f4f1f2	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
4b1ae9c9ca28bd14cd0ed6af78b7aa8e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
e2afd3c87b261b87fa844365d12d8c8c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
7c0b899ba65a267318a34c1fab104d4f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
6f623c3acc1c56590cc15bdce9a006ef	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
17dc03f75eede23bad17bff2028eaf52	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
9448494801bf23525467523f6256f5f6	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
72dc6e93e0ea36eda6b427bec9601d81	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
dc6e5446e61b13b9b54d0f055b0df714	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
3e2f486758ba7f61ddd80232e82920bf	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
bd94d28f43a53a14310640570e120464	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
f080a4e01eca958d1b58a1b5946d81f6	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
f8baf5eae1c05fcae3d83cd7c2c57a4f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
36bb29afcb39dedcb7f4146aaa92cd04	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
e2f2e02a6fb8f25c354d515a18fd09a9	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
284500e107cf09867dd0ef42ee491b45	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
2aef0c01cd49e24157391724a8279b0b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
38fdec1a413e95be40fb24a8a8ec14ef	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
914e4c0ccfb7c9e9848ec8a6b2e5b8fb	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
933e880f0deee34715ff6715b49dafbe	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
fc875ce7981025c4e059103fe305be8c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
54628011aade9e059aa4ff9611fbb036	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
8141a22a3d1f1bfea0d1f169ffca4cc5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
419def44ee54f53a645968ce9d69289b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
bba0e43b33a198b35978bfce46f0a6de	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
0ec355f3beba64d789f823a815353b68	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
805e8eef07c2767f2bd565b26b5aab74	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
24148d847b81212a9b8765324d50625c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	NA	NA	NA
bd5a7c10d2fa731e292efb240f1cd778	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
36cef5e69cf6db98875050b49b379bb8	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
4fca409b104dd2fbe38537aa32b2df6b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
4552536d324c85351c3e65bab58a04eb	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
a234f6af20785138a7c8ec5bcaeaac3d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
8272dfea742c7c022581c5e0678285f8	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
7710d8259742c9e7efbd5b2e2675b150	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
1a1c88e3b35bc1b1ed51cffb994b9c84	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
998516bc517bf15da2083a5210c92597	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
58bdb16197794ee3cdf10488f76464ad	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
74c3d3e93d5f9e015add0de76a5238eb	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
a8c7db85934eb65991fe1c3dd9dd809c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
319123c158e02012d4cf633205a5cfbd	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
fa85850a6670838293f6788880d1b7c2	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
6b3b33d17f01abdfdbe824bf1c4fc580	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
1da44531ea35aa31637d30066cf1653e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
f3862f1e9ce8d4dd0a3270505a2d595a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
6b703dd6f2455a8920ffc723dcbecfa9	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
6ae1d7a20b7a3796ffd8e7e1f82252e4	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
8397031fd8034a041e7bff4d1707481e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
55850b4f471e432c005f680bb3be18c7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
4b674ef9212ebeefe3479b051bdb3e32	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
b298a1a4e6346a467564016d19e1b538	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
31742b58ca34f4cd11021a74d5b50bbf	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
b2ed5cd36937a25db024bcab26fc04c0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
ee6e23ff889e9485ffbe56538bfed444	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
7b9f440bd1fbf47e670cf27b842b089f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
dd23b5eb9651bd05b5e51896eb783e5a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
bb9a045086611db88ea8ba4de0fd6c2d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
1172c45c28da4b8c05c09f8cf63c8e7b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
ea22aaa66684051d30934a7b7c5ba28e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
2557fa397ebbb849fc3751e75d4a2414	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
f2a44e4bf21f67102c9010a533c5b12a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
5cbfba25fb17901ac20d31238a4e551e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
fc439b209ad995a8789025a680460c3b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
87b467e439522ee6d18c8568e0efe676	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
3936eca93f2c9a796ae9c1880310f884	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
67af74888847fca9f5e3395229872b04	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
b3ff6a858735f1852d9e4c48d2314200	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
221d2d73090435a9da294b94d21f414b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
13a33a621f049896f2a7ceca3db32ff5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
34f60fabb3cb8b8493a3a67cfe496250	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
643b1d8fe42aad61d40809985d9a4a74	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
61e222baedb7256758fa7a527487e3c0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
1b03da019410437b1acc893840152c66	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
7e0a3e67a3ff880c93f6c7ace065b74a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
3725feedb76da88997e137163c4f7327	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
39e133db0ac64194dc329c276b2bbb31	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
5ae5d7d1205ffeecda01defeb43c2ecb	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
6c1ef24a26d8838bed3a269d36f3c538	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
711e5a10000988aa9eb718826bf99e1e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
7b7936943b4b5450d3465a2b5ffff37b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
f3dcbe8556976adad67794d4ecd04da5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
70b6fc1f20475f8baeccb579e6746a33	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
adfaad70043f63c2786112d39b74411d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
574714b1919212109d3aa88deb50042c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
a11f9c92bd88650f6400b93a342486d9	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
b5f3cfc3d7fb5e32d10b6ab51014420e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
dac4b17d46e7c5dbc6dc647797656878	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
59a877aa5b645b4355592602e4331b39	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
bcc4aa9a86e503047ca593047eccf219	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
a1f1324cabfb25307723f497a2e5fcc1	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
2771080b1185bed45f1fd55f672fdd11	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
7ce434ddcecbd8fcd7ad1276eb4c04be	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
ae78dd705779c63a6bb3e8fd49b52d96	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
06971b10e05f90f2c42f1099eb6f2b1a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
679aec289686bd9bb3a1fe0dcb7b9080	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
b4076ca96af8049c206425b993387085	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	NA	NA	NA
f1dacb496fc6319acc7930dfa3958fc0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Haptophyceae	NA	NA	NA
c0e79692cb3f911d09d4c9a7fac69eac	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Haptophyceae	NA	NA	NA
0ca0990ad0885203e4b31b38cc0ca435	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Haptophyceae	NA	NA	NA
31fa8ba6caf8d31f89c18d2fb6451255	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Pseudanabaenales	NA	NA	NA
11b17bc62a9640316b09640aae7bc492	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Pseudanabaenales	f__Pseudanabaenaceae	g__Leptolyngbya	NA
9c39dabdabef2f5023dcbc35a3491cf1	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Pseudanabaenales	f__Pseudanabaenaceae	g__Leptolyngbya	NA
75431b17f093a4a27b4c7b9560a9c941	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
ba65342619d7b8186963382b914bc7b9	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
8467787f777bdb9e6e5c099a93ea54b3	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
e76ad39688b6e19d27889445bfc9bc3a	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
d1759f98a158ee7ebddf4d7235ebe1c6	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
e5a39cc6b7dbb0e08f13a03e3c3d5c55	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Paulinella	NA
c7f265bdf18903471b932ad244bf6c04	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
4337251bd3865392a0436acc9803d146	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
0c4bc934eb81c93ebd6599f86a6da2bb	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
d55594b1fd9b1adb59ca302881bcd4ed	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
46c984a94cd3f9c2637afb881344e282	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
3125cb4e037786bb89f026090fe8e751	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
92a162a8348205942c1b79e49236d1b4	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Synechococcaceae	g__Synechococcus	NA
5e62cd87f41da2c11b8fefd460317178	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Chamaesiphonaceae	NA	NA
0e43dcda4e27c14147810baa04379e58	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	NA	NA	NA
5fc7049e611b5ce54bcb2faeaeb2e420	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	NA	NA	NA
b437026463c43df558cb3f02c83fedec	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae	NA	NA
4770dff37e3f0cbbf0912ac75a428355	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	g__Phormidium	NA
223ad5655ea30db91a14b06b3d336504	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	g__Phormidium	NA
d8afc03195a1714a5c05b5753c03d386	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	g__Phormidium	NA
d13f6be4a7da3176b111513f5701f759	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	g__Phormidium	NA
fa3596ed10cbadf5d92936ada173ce1a	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	g__Phormidium	NA
be7ef41f367185e21480f8c198c21bb0	k__Bacteria	p__Cyanobacteria	c__Nostocophycideae	o__Nostocales	f__Nostocaceae	NA	NA
df12b50d3bbab6ae761986a8bcd108b2	k__Bacteria	p__Cyanobacteria	c__Nostocophycideae	o__Nostocales	f__Nostocaceae	NA	NA
7a015ed5492eae74964590751f10f64f	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae	NA	NA
7aaa3ecae849160810cc9fedc59df606	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae	NA	NA
5101204546dd6b4b067f8a6ca1c48ead	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
4409070553cd8280648b1acfe85776a8	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
b4f5de5cbcbcc1c4563a04de2041d150	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
ad06a7bee3216d956caa40017f063cfa	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
693f9b90b530fe879570a8e99db7f828	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
78d4d1d397b99680114828af64119834	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
e6067eb88dea6221d7abe3d61b848579	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
e850217389fd4d408651a2d46f8a062c	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
0c42ec91973316033e7aa605d5bc1c10	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
73ed18184f0322c54c67ca628b16887a	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
f990fc6a9301759a61482a86eb73b3fe	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
71099ffbbc518c15537ae8affa2c063c	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
87c06b474f72aa781984dc390924b5f6	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
26b0ee015381396c7876b0e282bcc2fd	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
2aba12661cec2ea59ef8bfbfe31510e3	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
047a5cbdbc7ce5393fdc176e974ae24f	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
2a167fb6d068273bbd1566d42e2f6c6d	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
9e00f2e2fcc573894cbda721ef2bbe7c	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
ddb02147bbece2cfad8c17dc42d988fd	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
fa87a705053810d6fe20193827e05a26	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
e21793f65f76d65488112840fd546d73	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
41ff327f0eb7683c12111c49bfdf6779	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
bee2ed9b645b34b265975e4a71ddbf57	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
746cfd61ce88055aa0b12bb94834ff9e	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	NA	NA	NA
